Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,FRAP_value
"Cowpea, var. Cherodhi, Brown, seeds, raw",11.07,22.66,1.86,53.83925305882353,7.69,15.00078794117647,4.6,3.62,30.12
"Cowpea, var. GC-89691, Brown, seeds, raw",13,23.04,1.77,54.523097,8.24,15.03927901960784,4.34,3.65,29.6
"Common bean, var. Big Brown, seeds, raw",7.81,23.36,2.92,60.6,5.264382352941176,17.17001605620369,3.2,2.15,16.54
"Common bean, var. Small Brown, seeds, raw",8.4,23.88,3.14,56.92,5.549288235294118,17.20550627271745,3.72,4.27,20.52
"Common bean, var. Big Light Brown, seeds, raw",8.44,23.82,2.3,56.94,6.510864705882353,16.531574985615457,3.24,4.89,29.39
"Common bean, var. Pecked White, seeds, raw",8.95,22.64,6.44,40.5,3.270317647058824,19.094117647058823,3.22,2.6220299411764705,19.49
"Common bean, var. Big White, seeds, raw",11.07,26.35,3.23,51.06,6.425676470588236,14.432666431372548,4.03,4.72,30.47
"Common bean, var. Small White, seeds, raw",9.36,25.19,3.17,53.6,6.156617647058824,14.65190214,3.61,3.81,27.57
"Common bean, var. French bean, seeds, raw",14.54,32.58,4.2,26.7,8.494131999999999,19.144805843137256,7.4,11.6,37.05
"Black bean, var. Negro Querétaro, seeds, raw",8.35,23.36,5.07,53.60597947058824,3.44,16.139450941176474,2.12628,3.62,29.3
"Cowpea, var. Asmerly, seeds, raw",10.67,19.974188,1.849131,61.601968,7.987147058823529,21.994807894529053,3.367741,2.536972,10.34
"Kidney bean, var. Giza 3, White, seeds, raw",11.67,21.958838,1.625272,57.264339,8.020973647058824,20.43057354901961,3.453703,4.027848,23.67
"Kidney bean, seeds, raw",10.2,25.25176,1.19434,56.72666,6.618988235294118,17.736133306293752,2.77482,3.85242,28.71
"Pea, seeds, raw",8.11,19.866618,2.232927,62.806815,7.094382352941175,19.122265714626938,4.282074,2.701566,17.95
"Common bean, var. Sinaloa, seeds, raw",9.6,22.20224,1.37408,58.76904,8.465220235294119,19.22547322063356,3.977600000000001,4.07704,33.4
"Common bean, var. Azufrado Higuera, seeds, raw",10,22.689,1.413,57.68999999999999,8.537067294117648,19.190167541587872,4.392,3.816,33.37
"Common bean, var. Regional 87, seeds, raw",9,22.3587,1.365,59.54130000000001,8.465220235294119,19.00168377427796,3.822,3.913,41.12
"Common bean, var. Noroeste T-7, seeds, raw",9,20.9482,1.1557,61.2157,8.272358823529412,19.167185102159014,3.9403,3.7401,31.73
"Common bean, var. Peruano, seeds, raw",11.5,19.3107,2.0355,58.47195,6.8610235294117645,21.99480789452905,4.64625,4.0356,30.06
"Common bean, var. Azufrado Pacífico, seeds, raw",11,21.7605,1.335,56.9155,7.982890823529412,20.154771718058463,4.9395,4.0495,38.08
"Common bean, var. Pimono 78, seeds, raw",10,23.796,0.8909999999999999,55.71,7.934302588235295,17.73613330629376,5.688000000000001,3.915,27.09
"Common bean, var. Criollo Don Carlos, seeds, raw",10.4,20.8768,1.73824,58.07872,8.679984941176471,21.491838482764344,5.151999999999999,3.75424,33.81
"Common bean, var. San Francisco, seeds, raw",10,20.277,1.485,58.85100000000001,8.257252941176473,21.95428421961897,5.571000000000001,3.816,25.3
"Common bean, var. Madero, seeds, raw",10,20.277,1.107,60.57,8.210194117647058,21.95428421961897,4.221,3.825,30.41
"Common bean, var. MAM-38, seeds, raw",9,18.7551,1.8291,61.88910000000001,6.905864705882353,19.95333933643853,4.9049,3.6218,32.2
"Common bean, var. Pinto Villa, seeds, raw",9,20.3476,1.2012,61.0792,8.572276470588235,19.56178844808453,5.096,3.276,18.02
"Common bean, var. V-8025, seeds, raw",9.6,19.3456,1.4464,59.95327999999999,6.781511764705883,21.15655314118759,5.469200000000001,4.18552,22.03
"Common bean, var. Azufrado Tapatio, seeds, raw",12,25.3176,1.1968,52.2896,7.129573176470588,14.858212549019608,5.579199999999999,3.6168,26.42
"Common bean, Brown, PI-163579, seeds, raw",12.6,19.228,0.8740000000000001,57.193781058823525,6.9046,18.34865929411765,5.242880294117647,3.4086,13.91
"Common bean, Light brown, PI-169735, seeds, raw",9.5,19.6385,1.448,60.55412752941177,6.516,15.930766435305244,4.919335294117647,3.801,35.13
"Common bean, Purple with tan speckles, PI-171790, seeds, raw",10.2,21.4622,1.1674,58.19009459,11.9434,14.155226129823166,4.591412058823529,2.3348,22.59
"Common bean, Solid tan (brown), PI-176684, seeds, raw",11.5,12.4785,0.9735,67.33891449019609,12.8325,6.876323431372548,4.883342117647058,3.717,24.8
