Food name in English;WATER(g);PROTCNT(g);FATCE(g);CHOAVLDF(g);SUGAR(g);FIBTG(g);FIBND(g);FIBAD(g);FIBC(g);ASH(g);CELLU(g);LIGN(g);HEMCEL(g)
Rice, Anjung, conventional, brown, raw;9.39;8.21;2.42;77.52;;1.05;;;;1.43;;;
Rice, Shindongjin, conventional, brown, raw;9.05;6.87;2.46;79.46;;0.94;;;;1.23;;;
Rice, Milyang204, genetically modified, brown, raw;7.77;6.73;2.7;80.53;;1.06;;;;1.21;;;
Rice, Dongjin , conventional, brown, raw;7.79;7.1;2.42;80.44;;0.94;;;;1.32;;;
Rice, Junam, conventional, brown, raw;8.66;6.97;2.35;79.73;;0.98;;;;1.3;;;
Rice, Guixiangzhan, conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Guixiangzhan, conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Guixiangzhan, conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Guixiangzhan, conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Guixiangzhan, conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Xinxiangzhan , conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Xinxiangzhan , conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Xinxiangzhan , conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Xinxiangzhan , conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Xinxiangzhan , conventional, aromatic, raw;12;;;;;;;;;;;;
Rice, Youzawushanxiang, hybrid, aromatic, raw;12;;;;;;;;;;;;
Rice, Youzawushanxiang, hybrid, aromatic, raw;12;;;;;;;;;;;;
Rice, Youzawushanxiang, hybrid, aromatic, raw;12;;;;;;;;;;;;
Rice, Youzawushanxiang, hybrid, aromatic, raw;12;;;;;;;;;;;;
Rice, Youzawushanxiang, hybrid, aromatic, raw;12;;;;;;;;;;;;
Rice, IR 65, waxy (glutinous), immature (soft-dough), unhulled, raw;43.3;;;;;;;;;1.2474;;;
Rice, IR 24, intermediate amylose, immature (soft-dough), raw ;34.2;;;;;;;;;1.2502;;;
Rice, IR 64, non-waxy, immature (soft-dough), raw;57.3;;;;;;;;;0.9821;;;
Rice, IR 65, waxy (glutinous), immature (soft-dough), steamed, flaked;13.5;;;;;;;;;1.4705;;;
Rice, IR 24, intermediate amylose, immature (soft-dough), steamed, flaked ;12.5;;;;;;;;;1.3125;;;
Rice, IR 64, non-waxy (non-glutinous), immature (soft-dough), steamed, flaked ;11.9;;;;;;;;;1.4977;;;
Rice, wild, Chinese, raw;9.51;12;1.09;75.04;;1.24;;;;1.11;;;
Rice, wild, Chinese, raw;9.62;13.48;1.06;72.61;;1.87;;;;1.36;;;
Rice, wild, Chinese, raw;9.43;15.15;1.23;71.16;;1.58;;;;1.45;;;
Rice, wild, Chinese, raw;9.34;12.57;0.94;73.92;;1.93;;;;1.3;;;
Rice, wild, Chinese, raw;9.64;12.96;1.02;73.25;;1.86;;;;1.27;;;
Rice, wild, North American, raw;9.12;13.03;0.94;74.29;;1.15;;;;1.47;;;
Rice, wild, North American, raw;9.24;13.24;0.72;74.25;;1.24;;;;1.31;;;
Rice, Bangara Tegalu, uncooked, raw;10.68;;;;;;;;;0.32;;;
Rice, Sorusokowa, soft glutinous, raw;11.3;;;;;;;;;;;;
Rice, Ampakhisokowa, soft glutinous, raw;12.15;;;;;;;;;;;;
Rice, Janganibora, sticky glutinous, raw;11.5;;;;;;;;;;;;
Rice, Gheebora, sticky glutinous, raw;11;;;;;;;;;;;;
Rice, Manoharsali, non-glutinous, raw;11;;;;;;;;;;;;
Rice, Jaya, non-glutinous, raw;12;;;;;;;;;;;;
Rice, Chinese63, non-glutinous, raw;10.5;;;;;;;;;;;;
Rice, Prasadbhog, non-glutinous, raw;11.4;;;;;;;;;;;;
Rice, Badshabhog, non-glutinous, scented, raw;10.25;;;;;;;;;;;;
Rice, Jhargi, red, raw;12.76;;;;;;;;;1.32;;;
Rice, FR-43 B, red, raw;12.44;;;;;;;;;1.5;;;
Rice, ASD-3, red, raw;12.39;;;;;;;;;1.44;;;
Rice, BR-19, red, raw;12.02;;;;;;;;;1.43;;;
Rice, MTU-17, red, raw;12.57;;;;;;;;;;;;
Rice, ASD-4, red, raw;12.67;;;;;;;;;1.38;;;
Rice, ADT-23, red, raw;12.48;;;;;;;;;1.46;;;
Rice, Jaddu-1061, red, raw;12.67;;;;;;;;;1.49;;;
Rice, RH-244, red, raw;11.99;;;;;;;;;1.61;;;
Rice, FR-13-A, red, raw;12.11;;;;;;;;;1.22;;;
Rice, BR-6, red, raw;12.55;;;;;;;;;1.28;;;
Rice, Dahijira, red, raw;12.34;;;;;;;;;1.46;;;
Rice, ADT-21, red, raw;11.94;;;;;;;;;1.39;;;
Rice, Manchang, red, raw;12.33;;;;;;;;;1.63;;;
Rice, H-4, red, raw;11.16;;;;;;;;;1.2;;;
Rice, Maltu, red, raw;11.22;;;;;;;;;1.37;;;
Rice, Kalilalam, red, raw;10.77;;;;;;;;;1.51;;;
Rice, Starbonnet, long grain, brown, 1,94 mm kernel thickness, raw;13;6.699;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,88 mm kernel thickness, raw;13.1;6.7782;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,8 mm kernel thickness, raw;12.9;7.3164;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,65 mm kernel thickness, raw;12.9;9.0584;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,48 mm kernel thickness, raw;12.6;;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,28 mm kernel thickness, raw;12.7;10.6506;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,94 mm kernel thickness, raw;11.4;7.8854;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,88 mm kernel thickness, raw;11.3;7.8056;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,8 mm kernel thickness, raw;11.4;8.1512;;;;;;;;;;;
Rice, Starbonnet, long grain, brown, 1,65 mm kernel thickness, raw;11.4;9.8346;;;;;;;;;;;
